LOCATION_ID,GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME
18001,M,0-19,2020-07-01 00:00:00,1,Adams
18001,M,0-19,2020-07-21 00:00:00,1,Adams
18001,M,0-19,2020-07-22 00:00:00,1,Adams
18001,M,0-19,2020-08-01 00:00:00,1,Adams
18001,M,0-19,2020-08-04 00:00:00,1,Adams
18001,M,0-19,2020-08-10 00:00:00,1,Adams
18001,M,0-19,2020-08-16 00:00:00,1,Adams
18001,M,0-19,2020-09-08 00:00:00,1,Adams
18001,M,0-19,2020-09-18 00:00:00,1,Adams
18001,M,0-19,2020-09-19 00:00:00,1,Adams
18001,M,0-19,2020-09-22 00:00:00,1,Adams
18001,M,0-19,2020-09-25 00:00:00,1,Adams
18001,M,0-19,2020-10-02 00:00:00,1,Adams
18001,M,0-19,2020-10-05 00:00:00,1,Adams
18001,M,0-19,2020-10-07 00:00:00,2,Adams
18001,M,0-19,2020-10-11 00:00:00,2,Adams
18001,M,0-19,2020-10-12 00:00:00,2,Adams
18001,M,0-19,2020-10-16 00:00:00,3,Adams
18001,M,0-19,2020-10-20 00:00:00,1,Adams
18001,M,0-19,2020-10-25 00:00:00,2,Adams
18001,M,0-19,2020-10-26 00:00:00,1,Adams
18001,M,20-29,2020-05-27 00:00:00,1,Adams
18001,M,20-29,2020-06-19 00:00:00,1,Adams
18001,M,20-29,2020-06-25 00:00:00,1,Adams
18001,M,20-29,2020-07-18 00:00:00,1,Adams
18001,M,20-29,2020-08-06 00:00:00,3,Adams
18001,M,20-29,2020-08-14 00:00:00,2,Adams
18001,M,20-29,2020-08-16 00:00:00,2,Adams
18001,M,20-29,2020-08-19 00:00:00,2,Adams
18001,M,20-29,2020-08-24 00:00:00,1,Adams
18001,M,20-29,2020-08-29 00:00:00,1,Adams
18001,M,20-29,2020-09-04 00:00:00,1,Adams
18001,M,20-29,2020-09-08 00:00:00,2,Adams
18001,M,20-29,2020-09-16 00:00:00,1,Adams
18001,M,20-29,2020-09-26 00:00:00,1,Adams
18001,M,20-29,2020-10-04 00:00:00,1,Adams
18001,M,20-29,2020-10-05 00:00:00,1,Adams
18001,M,20-29,2020-10-07 00:00:00,1,Adams
18001,M,20-29,2020-10-11 00:00:00,1,Adams
18001,M,20-29,2020-10-15 00:00:00,1,Adams
18001,M,20-29,2020-10-17 00:00:00,1,Adams
18001,M,20-29,2020-10-18 00:00:00,2,Adams
18001,M,20-29,2020-10-19 00:00:00,1,Adams
18001,M,20-29,2020-10-22 00:00:00,1,Adams
18001,M,20-29,2020-10-23 00:00:00,1,Adams
18001,M,20-29,2020-10-25 00:00:00,3,Adams
18001,M,20-29,2020-10-26 00:00:00,1,Adams
18001,M,30-39,2020-06-04 00:00:00,1,Adams
18001,M,30-39,2020-06-19 00:00:00,1,Adams
18001,M,30-39,2020-08-01 00:00:00,1,Adams
18001,M,30-39,2020-08-15 00:00:00,1,Adams
18001,M,30-39,2020-08-28 00:00:00,1,Adams
18001,M,30-39,2020-08-29 00:00:00,1,Adams
18001,M,30-39,2020-09-07 00:00:00,1,Adams
18001,M,30-39,2020-09-17 00:00:00,1,Adams
18001,M,30-39,2020-09-25 00:00:00,2,Adams
18001,M,30-39,2020-09-26 00:00:00,2,Adams
18001,M,30-39,2020-10-04 00:00:00,1,Adams
18001,M,30-39,2020-10-07 00:00:00,2,Adams
18001,M,30-39,2020-10-08 00:00:00,3,Adams
18001,M,30-39,2020-10-09 00:00:00,1,Adams
18001,M,30-39,2020-10-10 00:00:00,1,Adams
18001,M,30-39,2020-10-11 00:00:00,1,Adams
18001,M,30-39,2020-10-12 00:00:00,1,Adams
18001,M,30-39,2020-10-13 00:00:00,1,Adams
18001,M,30-39,2020-10-14 00:00:00,1,Adams
18001,M,30-39,2020-10-15 00:00:00,1,Adams
18001,M,30-39,2020-10-16 00:00:00,1,Adams
18001,M,30-39,2020-10-19 00:00:00,1,Adams
18001,M,30-39,2020-10-25 00:00:00,1,Adams
18001,M,30-39,2020-10-26 00:00:00,3,Adams
18001,M,40-49,2020-05-01 00:00:00,1,Adams
18001,M,40-49,2020-05-13 00:00:00,1,Adams
18001,M,40-49,2020-06-01 00:00:00,1,Adams
18001,M,40-49,2020-06-23 00:00:00,1,Adams
18001,M,40-49,2020-06-25 00:00:00,1,Adams
18001,M,40-49,2020-07-14 00:00:00,1,Adams
18001,M,40-49,2020-07-20 00:00:00,1,Adams
18001,M,40-49,2020-07-22 00:00:00,1,Adams
18001,M,40-49,2020-08-11 00:00:00,1,Adams
18001,M,40-49,2020-08-12 00:00:00,1,Adams
18001,M,40-49,2020-08-15 00:00:00,1,Adams
18001,M,40-49,2020-08-18 00:00:00,1,Adams
18001,M,40-49,2020-08-26 00:00:00,1,Adams
18001,M,40-49,2020-09-05 00:00:00,1,Adams
18001,M,40-49,2020-09-19 00:00:00,1,Adams
18001,M,40-49,2020-09-21 00:00:00,1,Adams
18001,M,40-49,2020-09-29 00:00:00,1,Adams
18001,M,40-49,2020-10-07 00:00:00,2,Adams
18001,M,40-49,2020-10-08 00:00:00,1,Adams
18001,M,40-49,2020-10-09 00:00:00,1,Adams
18001,M,40-49,2020-10-10 00:00:00,1,Adams
18001,M,40-49,2020-10-15 00:00:00,3,Adams
18001,M,40-49,2020-10-22 00:00:00,3,Adams
18001,M,40-49,2020-10-23 00:00:00,1,Adams
18001,M,40-49,2020-10-25 00:00:00,1,Adams
18001,M,50-59,2020-05-31 00:00:00,1,Adams
18001,M,50-59,2020-07-15 00:00:00,1,Adams
18001,M,50-59,2020-07-27 00:00:00,1,Adams
18001,M,50-59,2020-08-05 00:00:00,1,Adams
18001,M,50-59,2020-08-06 00:00:00,1,Adams
18001,M,50-59,2020-08-09 00:00:00,1,Adams
18001,M,50-59,2020-08-10 00:00:00,2,Adams
18001,M,50-59,2020-08-11 00:00:00,1,Adams
18001,M,50-59,2020-08-19 00:00:00,2,Adams
18001,M,50-59,2020-08-24 00:00:00,1,Adams
18001,M,50-59,2020-08-26 00:00:00,1,Adams
18001,M,50-59,2020-08-28 00:00:00,1,Adams
18001,M,50-59,2020-08-30 00:00:00,1,Adams
18001,M,50-59,2020-09-04 00:00:00,1,Adams
18001,M,50-59,2020-09-05 00:00:00,1,Adams
18001,M,50-59,2020-09-29 00:00:00,2,Adams
18001,M,50-59,2020-09-30 00:00:00,1,Adams
18001,M,50-59,2020-10-03 00:00:00,1,Adams
18001,M,50-59,2020-10-05 00:00:00,2,Adams
18001,M,50-59,2020-10-07 00:00:00,1,Adams
18001,M,50-59,2020-10-09 00:00:00,2,Adams
18001,M,50-59,2020-10-11 00:00:00,2,Adams
18001,M,50-59,2020-10-12 00:00:00,3,Adams
18001,M,50-59,2020-10-13 00:00:00,1,Adams
18001,M,50-59,2020-10-14 00:00:00,1,Adams
18001,M,50-59,2020-10-15 00:00:00,3,Adams
18001,M,50-59,2020-10-16 00:00:00,1,Adams
18001,M,50-59,2020-10-18 00:00:00,2,Adams
18001,M,50-59,2020-10-22 00:00:00,1,Adams
18001,M,50-59,2020-10-24 00:00:00,2,Adams
18001,M,50-59,2020-10-25 00:00:00,4,Adams
18001,M,60-69,2020-03-09 00:00:00,1,Adams
18001,M,60-69,2020-04-11 00:00:00,1,Adams
18001,M,60-69,2020-05-17 00:00:00,1,Adams
18001,M,60-69,2020-05-31 00:00:00,1,Adams
18001,M,60-69,2020-06-19 00:00:00,2,Adams
18001,M,60-69,2020-07-03 00:00:00,1,Adams
18001,M,60-69,2020-07-25 00:00:00,1,Adams
